"Street","City","State","Zipcode","Property Status","Price","Property Specs","Days on the market","Full Address","URL"
"4428 Country Ln # 8MURN1"," Charlotte ","NC ","28270","New Construction","$768,900+","4 bds · 5 ba · 4,128+ sqft","Classica Homes","Tiburon FL Plan, Providence Retreat","http://www.zillow.com/community/providence-retreat/2095565910_zpid/"
"2041 Craigmore Dr"," Charlotte ","NC ","28226","Coming Soon","$1,750,000","5 bds · 6 ba · 6,156 sqft","On market May 2","2041 Craigmore Dr, Charlotte, NC","http://www.zillow.com/homedetails/2041-Craigmore-Dr-Charlotte-NC-28226/6273265_zpid/"
"5015 Loma Linda Ln"," Charlotte ","NC ","28270","New Construction","$775,000","4 bds · 4 ba · 3,518 sqft","Classica Homes","5015 Loma Linda Ln, Charlotte, NC","http://www.zillow.com/homedetails/5015-Loma-Linda-Ln-Charlotte-NC-28270/2095565923_zpid/"
"9824 Avenal Ln"," Charlotte ","NC ","28270","New Construction","$839,117","6 bds · 5 ba · 5,648 sqft","Classica Homes","9824 Avenal Ln, Charlotte, NC","http://www.zillow.com/homedetails/9824-Avenal-Ln-Charlotte-NC-28270/2095022139_zpid/"
"4428 Country Ln # 68Z78F"," Charlotte ","NC ","28270","New Construction","$738,900+","4 bds · 4 ba · 3,641+ sqft","Classica Homes","Newport II FL Plan, Providence Retreat","http://www.zillow.com/community/providence-retreat/2095565911_zpid/"
"625 Seneca Pl"," Charlotte ","NC ","28210","House For Sale","$315,000","3 bds · 2 ba · 1,418 sqft","$15,000 (Apr 10)","625 Seneca Pl, Charlotte, NC","http://www.zillow.com/homedetails/625-Seneca-Pl-Charlotte-NC-28210/6257461_zpid/"
"4015 Altas Dr"," Charlotte ","NC ","28269","House For Sale","$185,000","4 bds · 3 ba · 2,000 sqft","$2,845 (Apr 3)","4015 Altas Dr, Charlotte, NC","http://www.zillow.com/homedetails/4015-Altas-Dr-Charlotte-NC-28269/2098919540_zpid/"
"2115 Teddington Dr"," Charlotte ","NC ","28214","House For Sale","$128,900","3 bds · 2 ba · 1,370 sqft","255 days on Zillow","2115 Teddington Dr, Charlotte, NC","http://www.zillow.com/homedetails/2115-Teddington-Dr-Charlotte-NC-28214/2097670904_zpid/"
"1903 Kenilworth Ave # 201"," Charlotte ","NC ","28203","Condo For Sale","$240,000","1 bd · 1 ba · 934 sqft","201 days on Zillow","1903 Kenilworth Ave # 201, Charlotte, NC","http://www.zillow.com/homedetails/1903-Kenilworth-Ave-201-Charlotte-NC-28203/83955128_zpid/"
"8600 Highgrove St"," Charlotte ","NC ","28277","House For Sale","$950,000","6 bds · 7 ba · 6,856 sqft","$48,500 (Apr 10)","8600 Highgrove St, Charlotte, NC","http://www.zillow.com/homedetails/8600-Highgrove-St-Charlotte-NC-28277/80462381_zpid/"
"10802 Cove Point Dr"," Charlotte ","NC ","28278","House For Sale","$299,000","4 bds · 3 ba · 2,808 sqft","$999 (Feb 24)","10802 Cove Point Dr, Charlotte, NC","http://www.zillow.com/homedetails/10802-Cove-Point-Dr-Charlotte-NC-28278/116224327_zpid/"
"4019 Atlas Dr"," Charlotte ","NC ","28269","House For Sale","$187,145","4 bds · 3 ba · 2,000 sqft","356 days on Zillow","4019 Atlas Dr, Charlotte, NC","http://www.zillow.com/homedetails/4019-Atlas-Dr-Charlotte-NC-28269/2098918891_zpid/"
"10621 Anglesey Ct"," CHARLOTTE ","NC ","28278","New Construction","$479,900","5 bds · 4 ba · 4,178 sqft","Shea Homes-Family","10621 Anglesey Ct, Charlotte, NC","http://www.zillow.com/homedetails/10621-Anglesey-Ct-Charlotte-NC-28278/99354927_zpid/"
"7231 Avoncliff Dr"," Charlotte ","NC ","28270","New Construction","$569,800","5 bds · 4 ba · 3,630 sqft","Meritage Homes","7231 Avoncliff Dr, Charlotte, NC","http://www.zillow.com/homedetails/7231-Avoncliff-Dr-Charlotte-NC-28270/2096066452_zpid/"
"17140 Belmont Stakes Ln"," Charlotte ","NC ","28278","New Construction","$289,994","4 bds · 3 ba · 2,642 sqft","Lennar","17140 Belmont Stakes Ln, Charlotte, NC","http://www.zillow.com/homedetails/17140-Belmont-Stakes-Ln-Charlotte-NC-28278/2095597972_zpid/"
"17208 Belmont Stakes Ln"," Charlotte ","NC ","28278","New Construction","$324,930","4 bds · 3 ba · 2,650 sqft","Lennar","17208 Belmont Stakes Ln, Charlotte, NC","http://www.zillow.com/homedetails/17208-Belmont-Stakes-Ln-Charlotte-NC-28278/2095597971_zpid/"
"11413 Kingfisher Dr"," Charlotte ","NC ","28226","House For Sale","$129,500","2 bds · 2 ba · 1,295 sqft","$2,500 (Apr 2)","11413 Kingfisher Dr, Charlotte, NC","http://www.zillow.com/homedetails/11413-Kingfisher-Dr-Charlotte-NC-28226/6311926_zpid/"
"210 N Church St UNIT 2201"," Charlotte ","NC ","28202","Townhouse For Sale","$469,000","2 bds · 2 ba · 1,080 sqft","285 days on Zillow","210 N Church St UNIT 2201, Charlotte, NC","http://www.zillow.com/homedetails/210-N-Church-St-UNIT-2201-Charlotte-NC-28202/83964625_zpid/"
"9337 Alice Mcginn Dr"," Charlotte ","NC ","28277","For Sale by Owner","$259,000","3 bds · 3 ba · 1,811 sqft","34 days on Zillow","9337 Alice Mcginn Dr, Charlotte, NC","http://www.zillow.com/homedetails/9337-Alice-Mcginn-Dr-Charlotte-NC-28277/2095033748_zpid/"
"2528 Sam Wilson Rd"," Charlotte ","NC ","28214","Apartment For Sale","$415,800","3 bds · 2 ba · 1,526 sqft","155 days on Zillow","2528 Sam Wilson Rd, Charlotte, NC","http://www.zillow.com/homedetails/2528-Sam-Wilson-Rd-Charlotte-NC-28214/6168310_zpid/"
"2535 Olde White Ln"," Charlotte ","NC ","28226","House For Sale","$519,500","4 bds · 4 ba · 3,553 sqft","293 days on Zillow","2535 Olde White Ln, Charlotte, NC","http://www.zillow.com/homedetails/2535-Olde-White-Ln-Charlotte-NC-28226/65057578_zpid/"
"671 Marsh Rd"," Charlotte ","NC ","28209","House For Sale","$364,500","3 bds · 2 ba · 1,155 sqft","68 days on Zillow","671 Marsh Rd, Charlotte, NC","http://www.zillow.com/homedetails/671-Marsh-Rd-Charlotte-NC-28209/6240677_zpid/"
"8434 Indigo Row"," Charlotte ","NC ","28277","Townhouse For Sale","$299,910","3 bds · 3 ba · 1,956 sqft","34 days on Zillow","8434 Indigo Row, Charlotte, NC","http://www.zillow.com/homedetails/8434-Indigo-Row-Charlotte-NC-28277/69569597_zpid/"
"5739 Copperleaf Commons Ct # 30"," Charlotte ","NC ","28277","House For Sale","$799,900","5 bds · 5 ba · 4,827 sqft","41 days on Zillow","5739 Copperleaf Commons Ct # 30, Charlotte, NC","http://www.zillow.com/homedetails/5739-Copperleaf-Commons-Ct-30-Charlotte-NC-28277/2095131000_zpid/"
"1930 Euclid Ave # 109"," Charlotte ","NC ","28203","Condo For Sale","$650,000","3 bds · 4 ba · 2,006 sqft","74 days on Zillow","1930 Euclid Ave # 109, Charlotte, NC","http://www.zillow.com/homedetails/1930-Euclid-Ave-109-Charlotte-NC-28203/2095519152_zpid/"
"2028 Lombardy Cir"," Charlotte ","NC ","28203","House For Sale","$869,000","3 bds · 3 ba · 2,507 sqft","40 days on Zillow","2028 Lombardy Cir, Charlotte, NC","http://www.zillow.com/homedetails/2028-Lombardy-Cir-Charlotte-NC-28203/6243561_zpid/"